cycle,level,air_flow,feed_flow,tailings_flow,concentrate_grade,emergency_stop,motor_running
106,50.107,30.000,40.000,38.000,82.052,false,true
107,50.108,30.000,40.000,38.000,82.052,false,true
108,50.109,30.000,40.000,38.000,82.052,false,true
109,50.110,30.000,40.000,38.000,82.052,false,true
110,50.111,30.000,40.000,38.000,82.052,false,true
111,50.112,30.000,40.000,38.000,82.052,false,true
112,50.113,30.000,40.000,38.000,82.052,false,true
113,50.114,30.000,40.000,38.000,82.052,false,true
114,50.115,30.000,40.000,38.000,82.052,false,true
115,50.116,30.000,40.000,38.000,82.052,false,true
116,50.117,30.000,40.000,38.000,82.052,false,true
117,50.118,30.000,40.000,38.000,82.052,false,true
118,50.119,30.000,40.000,38.000,82.052,false,true
119,50.120,30.000,40.000,38.000,82.052,false,true
120,50.121,30.000,40.000,38.000,82.052,false,true
121,50.122,30.000,40.000,38.000,82.052,false,true
122,50.123,30.000,40.000,38.000,82.052,false,true
123,50.124,30.000,40.000,38.000,82.052,false,true
124,50.125,30.000,40.000,38.000,82.052,false,true
125,50.126,30.000,40.000,38.000,82.053,false,true
126,50.127,30.000,40.000,38.000,82.053,false,true
127,50.128,30.000,40.000,38.000,82.053,false,true
128,50.129,30.000,40.000,38.000,82.053,false,true
129,50.130,30.000,40.000,38.000,82.053,false,true
130,50.131,30.000,40.000,38.000,82.053,false,true
131,50.132,30.000,40.000,38.000,82.053,false,true
132,50.133,30.000,40.000,38.000,82.053,false,true
133,50.134,30.000,40.000,38.000,82.053,false,true
134,50.135,30.000,40.000,38.000,82.053,false,true
135,50.136,30.000,40.000,38.000,82.053,false,true
136,50.137,30.000,40.000,38.000,82.053,false,true
137,50.138,30.000,40.000,38.000,82.053,false,true
138,50.139,30.000,40.000,38.000,82.053,false,true
139,50.140,30.000,40.000,38.000,82.053,false,true
140,50.141,30.000,40.000,38.000,82.053,false,true
141,50.142,30.000,40.000,38.000,82.053,false,true
142,50.143,30.000,40.000,38.000,82.053,false,true
143,50.144,30.000,40.000,38.000,82.053,false,true
144,50.145,30.000,40.000,38.000,82.053,false,true
145,50.146,30.000,40.000,38.000,82.053,false,true
