sample,operation,node_id,status,latency_us,value
81,read,ns=2;s=SDPLC.tank.level,Good,50.082000,347.900
82,read,ns=2;s=SDPLC.tank.level,Good,50.082000,432.300
83,read,ns=2;s=SDPLC.tank.level,Good,50.082000,426.600
84,read,ns=2;s=SDPLC.tank.level,Good,50.082000,410.500
85,read,ns=2;s=SDPLC.tank.level,Good,50.082000,398.300
86,read,ns=2;s=SDPLC.tank.level,Good,50.082000,329.900
87,read,ns=2;s=SDPLC.tank.level,Good,50.082000,568.000
88,read,ns=2;s=SDPLC.tank.level,Good,50.082000,788.000
89,read,ns=2;s=SDPLC.tank.level,Good,50.082000,531.500
90,read,ns=2;s=SDPLC.tank.level,Good,50.083000,458.800
91,read,ns=2;s=SDPLC.tank.level,Good,50.083000,613.000
92,read,ns=2;s=SDPLC.tank.level,Good,50.083000,885.000
93,read,ns=2;s=SDPLC.tank.level,Good,50.083000,733.500
94,read,ns=2;s=SDPLC.tank.level,Good,50.083000,570.500
95,read,ns=2;s=SDPLC.tank.level,Good,50.083000,516.000
96,read,ns=2;s=SDPLC.tank.level,Good,50.083000,467.500
97,read,ns=2;s=SDPLC.tank.level,Good,50.083000,574.500
98,read,ns=2;s=SDPLC.tank.level,Good,50.083000,417.700
99,read,ns=2;s=SDPLC.tank.level,Good,50.083000,382.800
100,read,ns=2;s=SDPLC.tank.level,Good,50.083000,612.500
101,read,ns=2;s=SDPLC.tank.level,Good,50.083000,1081.600
102,read,ns=2;s=SDPLC.tank.level,Good,50.083000,516.100
103,read,ns=2;s=SDPLC.tank.level,Good,50.083000,428.300
104,read,ns=2;s=SDPLC.tank.level,Good,50.083000,465.800
105,read,ns=2;s=SDPLC.tank.level,Good,50.083000,436.000
106,read,ns=2;s=SDPLC.tank.level,Good,50.083000,377.600
107,read,ns=2;s=SDPLC.tank.level,Good,50.083000,762.000
108,read,ns=2;s=SDPLC.tank.level,Good,50.084000,646.100
109,read,ns=2;s=SDPLC.tank.level,Good,50.084000,505.600
110,read,ns=2;s=SDPLC.tank.level,Good,50.084000,574.300
111,read,ns=2;s=SDPLC.tank.level,Good,50.084000,1021.700
112,read,ns=2;s=SDPLC.tank.level,Good,50.084000,662.500
113,read,ns=2;s=SDPLC.tank.level,Good,50.084000,533.000
114,read,ns=2;s=SDPLC.tank.level,Good,50.084000,451.900
115,read,ns=2;s=SDPLC.tank.level,Good,50.084000,463.100
116,read,ns=2;s=SDPLC.tank.level,Good,50.084000,607.600
117,read,ns=2;s=SDPLC.tank.level,Good,50.084000,839.900
118,read,ns=2;s=SDPLC.tank.level,Good,50.084000,571.400
119,read,ns=2;s=SDPLC.tank.level,Good,50.084000,495.700
120,read,ns=2;s=SDPLC.tank.level,Good,50.084000,538.300
121,read,ns=2;s=SDPLC.tank.level,Good,50.084000,511.400
122,read,ns=2;s=SDPLC.tank.level,Good,50.084000,667.100
123,read,ns=2;s=SDPLC.tank.level,Good,50.084000,517.400
124,read,ns=2;s=SDPLC.tank.level,Good,50.085000,553.300
125,read,ns=2;s=SDPLC.tank.level,Good,50.085000,514.700
126,read,ns=2;s=SDPLC.tank.level,Good,50.085000,376.000
127,read,ns=2;s=SDPLC.tank.level,Good,50.085000,650.000
128,read,ns=2;s=SDPLC.tank.level,Good,50.085000,1167.500
129,read,ns=2;s=SDPLC.tank.level,Good,50.085000,827.500
130,read,ns=2;s=SDPLC.tank.level,Good,50.085000,600.500
131,read,ns=2;s=SDPLC.tank.level,Good,50.085000,660.700
132,read,ns=2;s=SDPLC.tank.level,Good,50.085000,593.600
133,read,ns=2;s=SDPLC.tank.level,Good,50.085000,490.000
134,read,ns=2;s=SDPLC.tank.level,Good,50.085000,468.600
135,read,ns=2;s=SDPLC.tank.level,Good,50.085000,469.000
136,read,ns=2;s=SDPLC.tank.level,Good,50.085000,460.300
137,read,ns=2;s=SDPLC.tank.level,Good,50.085000,475.400
138,read,ns=2;s=SDPLC.tank.level,Good,50.085000,531.900
139,read,ns=2;s=SDPLC.tank.level,Good,50.085000,476.900
140,read,ns=2;s=SDPLC.tank.level,Good,50.085000,428.100
141,read,ns=2;s=SDPLC.tank.level,Good,50.086000,523.700
142,read,ns=2;s=SDPLC.tank.level,Good,50.086000,470.900
143,read,ns=2;s=SDPLC.tank.level,Good,50.086000,415.500
144,read,ns=2;s=SDPLC.tank.level,Good,50.086000,376.500
145,read,ns=2;s=SDPLC.tank.level,Good,50.086000,757.100
146,read,ns=2;s=SDPLC.tank.level,Good,50.086000,809.000
147,read,ns=2;s=SDPLC.tank.level,Good,50.086000,861.700
148,read,ns=2;s=SDPLC.tank.level,Good,50.086000,725.700
149,read,ns=2;s=SDPLC.tank.level,Good,50.086000,873.200
150,read,ns=2;s=SDPLC.tank.level,Good,50.086000,621.100
151,read,ns=2;s=SDPLC.tank.level,Good,50.086000,614.700
152,read,ns=2;s=SDPLC.tank.level,Good,50.086000,484.200
153,read,ns=2;s=SDPLC.tank.level,Good,50.086000,411.200
154,read,ns=2;s=SDPLC.tank.level,Good,50.086000,499.100
155,read,ns=2;s=SDPLC.tank.level,Good,50.086000,420.100
156,read,ns=2;s=SDPLC.tank.level,Good,50.086000,454.300
157,read,ns=2;s=SDPLC.tank.level,Good,50.086000,426.200
158,read,ns=2;s=SDPLC.tank.level,Good,50.087000,402.400
159,read,ns=2;s=SDPLC.tank.level,Good,50.087000,471.600
160,read,ns=2;s=SDPLC.tank.level,Good,50.087000,436.000
161,read,ns=2;s=SDPLC.tank.level,Good,50.087000,484.800
162,read,ns=2;s=SDPLC.tank.level,Good,50.087000,493.100
163,read,ns=2;s=SDPLC.tank.level,Good,50.087000,631.800
164,read,ns=2;s=SDPLC.tank.level,Good,50.087000,741.400
165,read,ns=2;s=SDPLC.tank.level,Good,50.087000,543.500
166,read,ns=2;s=SDPLC.tank.level,Good,50.087000,758.700
167,read,ns=2;s=SDPLC.tank.level,Good,50.087000,457.600
168,read,ns=2;s=SDPLC.tank.level,Good,50.087000,591.400
169,read,ns=2;s=SDPLC.tank.level,Good,50.087000,546.500
170,read,ns=2;s=SDPLC.tank.level,Good,50.087000,520.600
171,read,ns=2;s=SDPLC.tank.level,Good,50.087000,414.600
172,read,ns=2;s=SDPLC.tank.level,Good,50.087000,626.800
173,read,ns=2;s=SDPLC.tank.level,Good,50.087000,503.500
174,read,ns=2;s=SDPLC.tank.level,Good,50.087000,423.900
175,read,ns=2;s=SDPLC.tank.level,Good,50.087000,530.300
176,read,ns=2;s=SDPLC.tank.level,Good,50.087000,452.600
177,read,ns=2;s=SDPLC.tank.level,Good,50.088000,558.600
178,read,ns=2;s=SDPLC.tank.level,Good,50.088000,870.100
179,read,ns=2;s=SDPLC.tank.level,Good,50.088000,744.900
180,read,ns=2;s=SDPLC.tank.level,Good,50.088000,536.100
181,read,ns=2;s=SDPLC.tank.level,Good,50.088000,603.300
182,read,ns=2;s=SDPLC.tank.level,Good,50.088000,820.000
183,read,ns=2;s=SDPLC.tank.level,Good,50.088000,693.000
184,read,ns=2;s=SDPLC.tank.level,Good,50.088000,581.500
185,read,ns=2;s=SDPLC.tank.level,Good,50.088000,458.600
186,read,ns=2;s=SDPLC.tank.level,Good,50.088000,421.700
187,read,ns=2;s=SDPLC.tank.level,Good,50.088000,391.700
188,read,ns=2;s=SDPLC.tank.level,Good,50.088000,402.000
189,read,ns=2;s=SDPLC.tank.level,Good,50.088000,412.600
190,read,ns=2;s=SDPLC.tank.level,Good,50.088000,504.100
191,read,ns=2;s=SDPLC.tank.level,Good,50.088000,525.000
192,read,ns=2;s=SDPLC.tank.level,Good,50.088000,581.100
193,read,ns=2;s=SDPLC.tank.level,Good,50.088000,517.000
194,read,ns=2;s=SDPLC.tank.level,Good,50.089000,442.300
195,read,ns=2;s=SDPLC.tank.level,Good,50.089000,504.800
196,read,ns=2;s=SDPLC.tank.level,Good,50.089000,433.100
197,read,ns=2;s=SDPLC.tank.level,Good,50.089000,420.200
198,read,ns=2;s=SDPLC.tank.level,Good,50.089000,523.200
199,read,ns=2;s=SDPLC.tank.level,Good,50.089000,528.300
200,read,ns=2;s=SDPLC.tank.level,Good,50.089000,499.200
201,read,ns=2;s=SDPLC.tank.level,Good,50.089000,403.100
202,read,ns=2;s=SDPLC.tank.level,Good,50.089000,420.900
203,read,ns=2;s=SDPLC.tank.level,Good,50.089000,406.400
204,read,ns=2;s=SDPLC.tank.level,Good,50.089000,422.000
205,read,ns=2;s=SDPLC.tank.level,Good,50.089000,438.800
206,read,ns=2;s=SDPLC.tank.level,Good,50.089000,412.200
207,read,ns=2;s=SDPLC.tank.level,Good,50.089000,460.100
208,read,ns=2;s=SDPLC.tank.level,Good,50.089000,502.300
209,read,ns=2;s=SDPLC.tank.level,Good,50.089000,411.300
210,read,ns=2;s=SDPLC.tank.level,Good,50.089000,527.800
211,read,ns=2;s=SDPLC.tank.level,Good,50.089000,461.400
212,read,ns=2;s=SDPLC.tank.level,Good,50.089000,482.200
213,read,ns=2;s=SDPLC.tank.level,Good,50.089000,448.900
214,read,ns=2;s=SDPLC.tank.level,Good,50.089000,389.400
215,read,ns=2;s=SDPLC.tank.level,Good,50.089000,412.100
216,read,ns=2;s=SDPLC.tank.level,Good,50.090000,453.300
217,read,ns=2;s=SDPLC.tank.level,Good,50.090000,605.400
218,read,ns=2;s=SDPLC.tank.level,Good,50.090000,451.800
219,read,ns=2;s=SDPLC.tank.level,Good,50.090000,424.700
220,read,ns=2;s=SDPLC.tank.level,Good,50.090000,383.300
221,read,ns=2;s=SDPLC.tank.level,Good,50.090000,423.800
222,read,ns=2;s=SDPLC.tank.level,Good,50.090000,408.500
223,read,ns=2;s=SDPLC.tank.level,Good,50.090000,387.000
224,read,ns=2;s=SDPLC.tank.level,Good,50.090000,376.900
225,read,ns=2;s=SDPLC.tank.level,Good,50.090000,406.900
226,read,ns=2;s=SDPLC.tank.level,Good,50.090000,344.200
227,read,ns=2;s=SDPLC.tank.level,Good,50.090000,347.100
228,read,ns=2;s=SDPLC.tank.level,Good,50.090000,377.300
229,read,ns=2;s=SDPLC.tank.level,Good,50.090000,335.500
230,read,ns=2;s=SDPLC.tank.level,Good,50.090000,337.400
231,read,ns=2;s=SDPLC.tank.level,Good,50.090000,443.200
232,read,ns=2;s=SDPLC.tank.level,Good,50.090000,659.800
233,read,ns=2;s=SDPLC.tank.level,Good,50.090000,392.600
234,read,ns=2;s=SDPLC.tank.level,Good,50.090000,368.400
235,read,ns=2;s=SDPLC.tank.level,Good,50.090000,349.900
236,read,ns=2;s=SDPLC.tank.level,Good,50.090000,456.800
237,read,ns=2;s=SDPLC.tank.level,Good,50.090000,396.900
238,read,ns=2;s=SDPLC.tank.level,Good,50.090000,406.900
239,read,ns=2;s=SDPLC.tank.level,Good,50.090000,389.700
240,read,ns=2;s=SDPLC.tank.level,Good,50.091000,420.000
241,read,ns=2;s=SDPLC.tank.level,Good,50.091000,423.400
242,read,ns=2;s=SDPLC.tank.level,Good,50.091000,431.200
243,read,ns=2;s=SDPLC.tank.level,Good,50.091000,351.600
244,read,ns=2;s=SDPLC.tank.level,Good,50.091000,414.300
245,read,ns=2;s=SDPLC.tank.level,Good,50.091000,450.000
246,read,ns=2;s=SDPLC.tank.level,Good,50.091000,481.700
247,read,ns=2;s=SDPLC.tank.level,Good,50.091000,406.600
248,read,ns=2;s=SDPLC.tank.level,Good,50.091000,427.400
249,read,ns=2;s=SDPLC.tank.level,Good,50.091000,454.200
250,read,ns=2;s=SDPLC.tank.level,Good,50.091000,515.400
251,read,ns=2;s=SDPLC.tank.level,Good,50.091000,488.400
252,read,ns=2;s=SDPLC.tank.level,Good,50.091000,517.700
253,read,ns=2;s=SDPLC.tank.level,Good,50.091000,417.600
254,read,ns=2;s=SDPLC.tank.level,Good,50.091000,453.100
255,read,ns=2;s=SDPLC.tank.level,Good,50.091000,425.500
256,read,ns=2;s=SDPLC.tank.level,Good,50.091000,429.900
257,read,ns=2;s=SDPLC.tank.level,Good,50.091000,418.200
258,read,ns=2;s=SDPLC.tank.level,Good,50.091000,437.500
259,read,ns=2;s=SDPLC.tank.level,Good,50.091000,412.200
260,read,ns=2;s=SDPLC.tank.level,Good,50.091000,452.700
261,read,ns=2;s=SDPLC.tank.level,Good,50.091000,413.800
262,read,ns=2;s=SDPLC.tank.level,Good,50.092000,401.700
263,read,ns=2;s=SDPLC.tank.level,Good,50.092000,393.300
264,read,ns=2;s=SDPLC.tank.level,Good,50.092000,388.500
265,read,ns=2;s=SDPLC.tank.level,Good,50.092000,367.600
266,read,ns=2;s=SDPLC.tank.level,Good,50.092000,427.500
267,read,ns=2;s=SDPLC.tank.level,Good,50.092000,509.600
268,read,ns=2;s=SDPLC.tank.level,Good,50.092000,763.700
269,read,ns=2;s=SDPLC.tank.level,Good,50.092000,528.500
270,read,ns=2;s=SDPLC.tank.level,Good,50.092000,551.700
271,read,ns=2;s=SDPLC.tank.level,Good,50.092000,491.700
272,read,ns=2;s=SDPLC.tank.level,Good,50.092000,493.400
273,read,ns=2;s=SDPLC.tank.level,Good,50.092000,470.600
274,read,ns=2;s=SDPLC.tank.level,Good,50.092000,415.900
275,read,ns=2;s=SDPLC.tank.level,Good,50.092000,400.200
276,read,ns=2;s=SDPLC.tank.level,Good,50.092000,480.300
277,read,ns=2;s=SDPLC.tank.level,Good,50.092000,413.200
278,read,ns=2;s=SDPLC.tank.level,Good,50.092000,385.900
279,read,ns=2;s=SDPLC.tank.level,Good,50.092000,413.800
280,read,ns=2;s=SDPLC.tank.level,Good,50.092000,461.600
281,read,ns=2;s=SDPLC.tank.level,Good,50.092000,421.700
282,read,ns=2;s=SDPLC.tank.level,Good,50.092000,459.400
283,read,ns=2;s=SDPLC.tank.level,Good,50.092000,433.600
284,read,ns=2;s=SDPLC.tank.level,Good,50.093000,477.200
285,read,ns=2;s=SDPLC.tank.level,Good,50.093000,534.800
286,read,ns=2;s=SDPLC.tank.level,Good,50.093000,441.700
287,read,ns=2;s=SDPLC.tank.level,Good,50.093000,401.500
288,read,ns=2;s=SDPLC.tank.level,Good,50.093000,429.900
289,read,ns=2;s=SDPLC.tank.level,Good,50.093000,406.600
290,read,ns=2;s=SDPLC.tank.level,Good,50.093000,398.500
291,read,ns=2;s=SDPLC.tank.level,Good,50.093000,421.600
292,read,ns=2;s=SDPLC.tank.level,Good,50.093000,428.900
293,read,ns=2;s=SDPLC.tank.level,Good,50.093000,481.900
294,read,ns=2;s=SDPLC.tank.level,Good,50.093000,539.300
295,read,ns=2;s=SDPLC.tank.level,Good,50.093000,665.500
296,read,ns=2;s=SDPLC.tank.level,Good,50.093000,385.200
297,read,ns=2;s=SDPLC.tank.level,Good,50.093000,476.800
298,read,ns=2;s=SDPLC.tank.level,Good,50.093000,402.700
299,read,ns=2;s=SDPLC.tank.level,Good,50.093000,411.300
300,read,ns=2;s=SDPLC.tank.level,Good,50.093000,385.700
301,read,ns=2;s=SDPLC.tank.level,Good,50.093000,395.400
302,read,ns=2;s=SDPLC.tank.level,Good,50.093000,483.200
303,read,ns=2;s=SDPLC.tank.level,Good,50.093000,448.700
304,read,ns=2;s=SDPLC.tank.level,Good,50.093000,393.200
305,read,ns=2;s=SDPLC.tank.level,Good,50.093000,461.700
306,read,ns=2;s=SDPLC.tank.level,Good,50.094000,418.400
307,read,ns=2;s=SDPLC.tank.level,Good,50.094000,434.500
308,read,ns=2;s=SDPLC.tank.level,Good,50.094000,435.300
309,read,ns=2;s=SDPLC.tank.level,Good,50.094000,489.400
310,read,ns=2;s=SDPLC.tank.level,Good,50.094000,443.600
311,read,ns=2;s=SDPLC.tank.level,Good,50.094000,460.300
312,read,ns=2;s=SDPLC.tank.level,Good,50.094000,410.300
313,read,ns=2;s=SDPLC.tank.level,Good,50.094000,380.000
314,read,ns=2;s=SDPLC.tank.level,Good,50.094000,403.700
315,read,ns=2;s=SDPLC.tank.level,Good,50.094000,356.700
316,read,ns=2;s=SDPLC.tank.level,Good,50.094000,338.700
317,read,ns=2;s=SDPLC.tank.level,Good,50.094000,363.300
318,read,ns=2;s=SDPLC.tank.level,Good,50.094000,405.900
319,read,ns=2;s=SDPLC.tank.level,Good,50.094000,383.500
320,read,ns=2;s=SDPLC.tank.level,Good,50.094000,596.500
321,read,ns=2;s=SDPLC.tank.level,Good,50.094000,509.100
322,read,ns=2;s=SDPLC.tank.level,Good,50.094000,508.400
323,read,ns=2;s=SDPLC.tank.level,Good,50.094000,570.600
324,read,ns=2;s=SDPLC.tank.level,Good,50.094000,468.000
325,read,ns=2;s=SDPLC.tank.level,Good,50.094000,559.600
326,read,ns=2;s=SDPLC.tank.level,Good,50.094000,505.700
327,read,ns=2;s=SDPLC.tank.level,Good,50.094000,782.900
328,read,ns=2;s=SDPLC.tank.level,Good,50.095000,503.300
329,read,ns=2;s=SDPLC.tank.level,Good,50.095000,418.800
330,read,ns=2;s=SDPLC.tank.level,Good,50.095000,401.500
331,read,ns=2;s=SDPLC.tank.level,Good,50.095000,426.800
332,read,ns=2;s=SDPLC.tank.level,Good,50.095000,432.600
333,read,ns=2;s=SDPLC.tank.level,Good,50.095000,430.300
334,read,ns=2;s=SDPLC.tank.level,Good,50.095000,373.300
335,read,ns=2;s=SDPLC.tank.level,Good,50.095000,373.900
336,read,ns=2;s=SDPLC.tank.level,Good,50.095000,432.800
337,read,ns=2;s=SDPLC.tank.level,Good,50.095000,475.100
338,read,ns=2;s=SDPLC.tank.level,Good,50.095000,400.100
339,read,ns=2;s=SDPLC.tank.level,Good,50.095000,425.000
340,read,ns=2;s=SDPLC.tank.level,Good,50.095000,388.600
341,read,ns=2;s=SDPLC.tank.level,Good,50.095000,442.400
342,read,ns=2;s=SDPLC.tank.level,Good,50.095000,503.200
343,read,ns=2;s=SDPLC.tank.level,Good,50.095000,549.300
344,read,ns=2;s=SDPLC.tank.level,Good,50.095000,522.700
345,read,ns=2;s=SDPLC.tank.level,Good,50.095000,468.800
346,read,ns=2;s=SDPLC.tank.level,Good,50.095000,508.600
347,read,ns=2;s=SDPLC.tank.level,Good,50.095000,485.800
348,read,ns=2;s=SDPLC.tank.level,Good,50.095000,410.100
349,read,ns=2;s=SDPLC.tank.level,Good,50.096000,377.900
350,read,ns=2;s=SDPLC.tank.level,Good,50.096000,504.000
351,read,ns=2;s=SDPLC.tank.level,Good,50.096000,414.900
352,read,ns=2;s=SDPLC.tank.level,Good,50.096000,463.200
353,read,ns=2;s=SDPLC.tank.level,Good,50.096000,578.700
354,read,ns=2;s=SDPLC.tank.level,Good,50.096000,815.500
355,read,ns=2;s=SDPLC.tank.level,Good,50.096000,525.400
356,read,ns=2;s=SDPLC.tank.level,Good,50.096000,620.600
357,read,ns=2;s=SDPLC.tank.level,Good,50.096000,736.800
358,read,ns=2;s=SDPLC.tank.level,Good,50.096000,626.700
359,read,ns=2;s=SDPLC.tank.level,Good,50.096000,493.400
360,read,ns=2;s=SDPLC.tank.level,Good,50.096000,733.600
361,read,ns=2;s=SDPLC.tank.level,Good,50.096000,539.700
362,read,ns=2;s=SDPLC.tank.level,Good,50.096000,569.100
363,read,ns=2;s=SDPLC.tank.level,Good,50.096000,502.900
364,read,ns=2;s=SDPLC.tank.level,Good,50.096000,397.700
365,read,ns=2;s=SDPLC.tank.level,Good,50.096000,426.600
366,read,ns=2;s=SDPLC.tank.level,Good,50.096000,377.500
367,read,ns=2;s=SDPLC.tank.level,Good,50.097000,401.600
368,read,ns=2;s=SDPLC.tank.level,Good,50.097000,536.300
369,read,ns=2;s=SDPLC.tank.level,Good,50.097000,487.300
370,read,ns=2;s=SDPLC.tank.level,Good,50.097000,418.100
371,read,ns=2;s=SDPLC.tank.level,Good,50.097000,368.300
372,read,ns=2;s=SDPLC.tank.level,Good,50.097000,405.800
373,read,ns=2;s=SDPLC.tank.level,Good,50.097000,355.900
374,read,ns=2;s=SDPLC.tank.level,Good,50.097000,439.000
375,read,ns=2;s=SDPLC.tank.level,Good,50.097000,442.700
376,read,ns=2;s=SDPLC.tank.level,Good,50.097000,458.400
377,read,ns=2;s=SDPLC.tank.level,Good,50.097000,379.100
378,read,ns=2;s=SDPLC.tank.level,Good,50.097000,394.700
379,read,ns=2;s=SDPLC.tank.level,Good,50.097000,530.800
380,read,ns=2;s=SDPLC.tank.level,Good,50.097000,610.800
381,read,ns=2;s=SDPLC.tank.level,Good,50.097000,448.900
382,read,ns=2;s=SDPLC.tank.level,Good,50.097000,430.400
383,read,ns=2;s=SDPLC.tank.level,Good,50.097000,365.700
384,read,ns=2;s=SDPLC.tank.level,Good,50.097000,464.600
385,read,ns=2;s=SDPLC.tank.level,Good,50.097000,610.600
386,read,ns=2;s=SDPLC.tank.level,Good,50.097000,548.900
387,read,ns=2;s=SDPLC.tank.level,Good,50.097000,512.300
388,read,ns=2;s=SDPLC.tank.level,Good,50.097000,426.200
389,read,ns=2;s=SDPLC.tank.level,Good,50.098000,601.400
390,read,ns=2;s=SDPLC.tank.level,Good,50.098000,451.800
391,read,ns=2;s=SDPLC.tank.level,Good,50.098000,401.300
392,read,ns=2;s=SDPLC.tank.level,Good,50.098000,346.100
393,read,ns=2;s=SDPLC.tank.level,Good,50.098000,413.000
394,read,ns=2;s=SDPLC.tank.level,Good,50.098000,392.000
395,read,ns=2;s=SDPLC.tank.level,Good,50.098000,486.900
396,read,ns=2;s=SDPLC.tank.level,Good,50.098000,390.300
397,read,ns=2;s=SDPLC.tank.level,Good,50.098000,395.100
398,read,ns=2;s=SDPLC.tank.level,Good,50.098000,398.900
399,read,ns=2;s=SDPLC.tank.level,Good,50.098000,384.500
400,read,ns=2;s=SDPLC.tank.level,Good,50.098000,407.000
401,read,ns=2;s=SDPLC.tank.level,Good,50.098000,396.300
402,read,ns=2;s=SDPLC.tank.level,Good,50.098000,401.500
403,read,ns=2;s=SDPLC.tank.level,Good,50.098000,478.800
404,read,ns=2;s=SDPLC.tank.level,Good,50.098000,547.700
405,read,ns=2;s=SDPLC.tank.level,Good,50.098000,382.300
406,read,ns=2;s=SDPLC.tank.level,Good,50.098000,434.200
407,read,ns=2;s=SDPLC.tank.level,Good,50.098000,496.200
408,read,ns=2;s=SDPLC.tank.level,Good,50.098000,465.600
409,read,ns=2;s=SDPLC.tank.level,Good,50.098000,538.600
