sample,operation,node_id,status,latency_us,value
75,write,ns=2;s=SDPLC.tank.air_flow,Good,312.300,44.000000
76,write,ns=2;s=SDPLC.tank.air_flow,Good,316.300,44.100000
77,write,ns=2;s=SDPLC.tank.air_flow,Good,353.700,44.200000
78,write,ns=2;s=SDPLC.tank.air_flow,Good,431.700,44.300000
79,write,ns=2;s=SDPLC.tank.air_flow,Good,403.500,44.400000
80,write,ns=2;s=SDPLC.tank.air_flow,Good,411.500,42.500000
81,write,ns=2;s=SDPLC.tank.air_flow,Good,402.200,42.600000
82,write,ns=2;s=SDPLC.tank.air_flow,Good,385.200,42.700000
83,write,ns=2;s=SDPLC.tank.air_flow,Good,440.800,42.800000
84,write,ns=2;s=SDPLC.tank.air_flow,Good,466.900,42.900000
85,write,ns=2;s=SDPLC.tank.air_flow,Good,449.000,43.000000
86,write,ns=2;s=SDPLC.tank.air_flow,Good,380.900,43.100000
87,write,ns=2;s=SDPLC.tank.air_flow,Good,389.400,43.200000
88,write,ns=2;s=SDPLC.tank.air_flow,Good,507.800,43.300000
89,write,ns=2;s=SDPLC.tank.air_flow,Good,431.900,43.400000
90,write,ns=2;s=SDPLC.tank.air_flow,Good,442.300,43.500000
91,write,ns=2;s=SDPLC.tank.air_flow,Good,388.600,43.600000
92,write,ns=2;s=SDPLC.tank.air_flow,Good,354.700,43.700000
93,write,ns=2;s=SDPLC.tank.air_flow,Good,362.400,43.800000
94,write,ns=2;s=SDPLC.tank.air_flow,Good,356.000,43.900000
95,write,ns=2;s=SDPLC.tank.air_flow,Good,413.100,44.000000
96,write,ns=2;s=SDPLC.tank.air_flow,Good,339.700,44.100000
97,write,ns=2;s=SDPLC.tank.air_flow,Good,314.600,44.200000
98,write,ns=2;s=SDPLC.tank.air_flow,Good,414.400,44.300000
99,write,ns=2;s=SDPLC.tank.air_flow,Good,410.800,44.400000
